date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad,lpcom
1996.75,10.63106031,5.333333333,1.32,0.005325138,9.291649539,10.06013077,17.69743366,4.677583866,4.220698173,4.225299723,-0.0067,-0.0063,0.096616233,-0.0993582,0.028333446,0.0184763,0.0202375,0.0862866,0.031971389,-0.123172005,-0.04462814,-0.034764467,-0.038168467,-0.0263333,-0.024555567,-0.032057367,-0.001666667,-0.006666667,-0.003333333,0.009226867,0.000453933,0.0038989,0.008691533,-0.16821368,-0.017569887,5.668565396
1997,10.63484532,5.233333333,1.319166667,0.005945264,9.310586351,10.06391577,17.70368012,4.68527443,4.218566086,4.216930859,0.0133,0.026,0.021640233,-0.034121133,0.118386602,,0.0510779,0.1277924,0.157284464,0.04811738,-0.010402411,-0.007258067,0.0012903,0.008225833,0.012311867,0.013172033,-0.006666667,0.013333333,0.025,-0.003720867,0.018306633,0.0276421,0.0224978,0.085133701,0.007101287,5.688050999
1997.25,10.64846788,5,1.380833333,0.002023336,9.335423982,10.06864939,17.70398838,4.676401883,4.233193044,4.229093963,-0.03,-0.0043,0.011460033,-0.095677467,0.088751617,,0.0685378,0.103655,0.023278443,-0.052070021,-0.013510119,-0.022560767,-0.0196775,-0.0065592,0.001021533,0.000107533,-0.011666667,-0.03,-0.023333333,-0.0006915,-0.0175971,-0.017591833,-0.008210567,-0.196180351,-0.02473684,5.679849896
1997.5,10.65758871,4.866666667,1.383333333,0.004329651,9.351952254,10.07955434,17.70650536,4.674649606,4.241341141,4.245239949,-0.0033,0.0033,-0.0724794,0.072408733,0.002739642,,-0.2541231,-0.1427021,0.11707586,-0.108509051,-0.066960025,-0.007129973,-0.003333333,0.003277833,0.004944433,0.005055567,-0.013333333,-0.003333333,0.001666667,-0.0013426,0.006498133,0.0079278,0.008538633,-0.69318951,-0.064942108,5.680953383
1997.75,10.66300751,4.666666667,1.376666667,0.003281788,9.361054296,10.08675408,17.70699806,4.685366728,4.246249866,4.242800486,-0.0033,-0.009,-0.005883833,-0.000354253,-0.000473197,,-0.133993,-0.0718923,-0.024502244,0.043664133,0.022608905,-0.013886667,-0.001720433,-0.0124714,-0.013331533,-0.011776,-0.00833,-0.003333333,-0.011666667,-0.002412567,-0.0010004,-0.012560033,0.004540233,-0.131593935,-0.006891419,5.668355171
1998,10.67039622,4.633333333,1.38,0.00146996,9.383041803,10.09414279,17.7063697,4.695632269,4.255215468,4.25369598,0,0.0037,-0.0061391,-0.049390913,0.016175513,,-0.1241339,-0.0518049,0.203640538,0.020719198,0.004981808,-0.000107533,-0.0016129,0.004193533,0.005107567,0.006720433,-0.005,0,0.005,-0.0000634,0.006413633,0.010783467,0.003517433,0.259884895,-0.002099496,5.58849534
1998.25,10.67687742,4.4,1.375,0.00234745,9.385893239,10.10417639,17.70523421,4.702042781,4.260734324,4.270396506,-0.0033,-0.0027,-0.005794467,0.01223747,-0.025931117,,-0.1320815,-0.0645189,-0.016699444,0.048530415,0.013881229,-0.011839133,-0.0033333,-0.005000033,-0.0033871,-0.005,-0.003333333,-0.003333333,-0.005,0.004351733,0.007647933,0.000107567,0.003484733,-0.074994296,-0.013841271,5.609616203
1998.5,10.68620118,4.533333333,1.383333333,0.00429382,9.402463404,10.11172553,17.70474281,4.701725045,4.273954112,4.284758289,0.03,-0.0007,-0.078764667,0.01135545,0.0385522,,-0.1496708,-0.04442,-0.093071475,-0.092525493,-0.018979823,0.0033678,0.008218833,-0.001555533,0.001888867,0.000333333,0.001666667,0.029996667,0,0.014316367,0.035810333,0.004221933,0.018054533,-0.678156152,-0.026228952,5.563789153
1998.75,10.69921388,4.433333333,1.215,0.002742105,9.433365676,10.11939539,17.71371472,4.700398544,4.2816813,4.279543919,-0.0833,-0.0527,0.006666833,-0.164571207,0.169321247,,-0.4011616,-0.3070178,-0.137904754,-0.060173925,-0.029379312,-0.0882511,-0.061555467,-0.095648767,-0.087426567,-0.090333333,-0.051666667,-0.083333333,-0.098333333,-0.0005275,0.0073187,-0.0070168,-0.085621667,-0.207563708,-0.029125249,5.493445025
1999,10.70609434,4.3,1.183333333,0.003196241,9.447313295,10.12805996,17.71054701,4.703494002,4.295337933,4.302272948,-0.0067,0.006,0.02787,-0.0535569,0.055764637,,-0.3629233,-0.2594593,-0.188000445,0.053201163,-0.006528767,0.0016516,-0.0004301,0.003333333,0.001666667,0.000913967,0.001666667,-0.006666667,-0.003333333,0.0033573,-0.002390167,-0.005188,-0.011715167,0.011363448,-0.021148358,5.446780177
1999.25,10.71165841,4.266666667,1.186666667,0.003777389,9.452877369,10.13895738,17.71004971,4.701034758,4.298821641,4.298509147,-0.01,0.0103,-0.064289367,-0.015500133,0.15036957,,0.0633363,0.1483469,0.144408265,0.049473907,0.018596322,-0.007428233,0.006318967,0.031148733,0.039370967,0.042752733,-0.003333333,-0.01,0.008333333,0.004914833,-0.007726667,0.006879733,-0.0013771,0.406238898,0.025704264,5.430725636
1999.5,10.7216361,4.233333333,1.273333333,0.003553753,9.46637,10.14893507,17.71017461,4.697484975,4.308272446,4.302340634,0.005,-0.0063,-0.0606883,0.0387929,-0.00975612,,0.2652121,0.2560746,0.112945588,0.088375003,0.030181201,0.001999933,-0.017555533,-0.030611133,-0.035499967,-0.047000033,0.005,0.005,0,0.0067199,-0.0003581,-0.0029108,-0.0023972,0.339250068,0.060314263,5.441786113
1999.75,10.73491732,4.066666667,1.326666667,0.005508865,9.483153853,10.16398777,17.71315832,4.69794078,4.322648111,4.319752215,0.0317,0.05,0.0314017,-0.131931073,0.390235126,,-0.2993343,-0.1577558,0.289615953,0.026431663,-0.052849599,0.012927833,0.0327453,0.056989267,0.0624731,0.0592473,0.001666667,0.03167,0.066666667,-0.0070953,0.0116801,0.037878333,0.0425895,0.393927647,0.002328647,5.437500616
2000,10.73602704,4.033333333,1.419166667,0.006617385,9.487753979,10.1721522,17.72505555,4.72995973,4.319219946,4.318620805,-0.0017,0.0147,-0.0699786,0.020458253,0.109974,,-0.0402271,0.0232468,-0.025477348,0.125932615,0.065116453,-0.0218545,-0.000590233,0.009086033,0.009784933,0.019677467,-0.023333333,-0.001663333,-0.001666667,-0.022112567,-0.002568333,-0.003567,-0.0091201,0.817293169,0.051568357,5.417268783
2000.25,10.75158509,3.933333333,1.568333333,0.006214083,9.517153081,10.18418912,17.72268989,4.708899372,4.338074747,4.332442405,0.0183,-0.002,-0.0216996,-0.033057296,0.067413767,,0.3748848,0.3643079,0.358794836,0.03379315,0.014950447,0.002943267,0.020684633,0.014924667,0.018408633,0.0149086,0.006666667,0.01833,0.01,0.0115862,0.0078218,0.002466233,0.014263867,0.224358415,0.067220132,5.439977948
2000.5,10.74987071,4,1.63,0.005843548,9.50507591,10.19300115,17.71809187,4.722810989,4.337774284,4.336048139,0.0017,0.0027,-0.010355933,0.0175,-0.073988997,,-0.0770716,-0.0592025,0.093925361,0.128757778,0.042092684,-0.0132366,-0.0028363,-0.001,0.001,-0.0005,-0.001666667,0.001666667,0.005,0.005332967,0.005659067,0.006810433,0.0051202,0.675454051,-0.011253609,5.389797066
2000.75,10.75314691,3.9,1.618333333,0.005415716,9.50138344,10.19976167,17.71826819,4.714840402,4.347538704,4.352050558,0.0067,0.01,-0.033805933,-0.031512637,0.067608133,,0.0808083,0.1229384,-0.139071075,-0.014212274,0.022763905,0.005697333,0.0076344,0.021129067,0.022096733,0.021666667,0.006666667,0.006666667,0.025,0.0404036,0.006784233,0.0333216,0.037741167,0.101422038,0.027413579,5.412280934
2001,10.74761611,4.233333333,1.398333333,0.006536137,9.463878337,10.20116331,17.71257687,4.736926254,4.342414845,4.35256564,-0.065,0.019,-0.003201867,-0.164074088,0.058671917,,-0.4823846,-0.4464054,-1.012002956,-0.183248293,-0.078211135,-0.097755733,-0.050641833,-0.056182767,-0.0537097,-0.0566129,-0.108333333,-0.064996667,-0.073333333,-0.0786711,-0.053075433,-0.0440569,-0.0446659,-0.903209113,-0.105030586,5.418251185
2001.25,10.75145662,4.4,1.081666667,0.006029461,9.453173132,10.20327521,17.69992775,4.71978376,4.35958929,4.364498918,-0.145,-0.0133,0.081178567,-0.180115667,0.101642733,,-0.6085982,-0.5562474,-0.69051136,-0.064027314,0.001630261,-0.1590616,-0.181989267,-0.1620573,-0.1783871,-0.165720467,-0.07,-0.145,-0.13,0.010107833,0.001267,-0.001843733,-0.126448267,-0.204241277,-0.065626659,5.435785046
2001.5,10.7448392,4.833333333,0.874166667,0.00392037,9.43920274,10.20011202,17.69263908,4.714266714,4.365427122,4.367261921,-0.0217,0.013,0.030429067,-0.112847367,0.149466767,,-0.1625399,-0.1289616,-0.047986841,0.000394033,0.022649731,0.035496633,0.015000033,0.005444367,0.003333367,0.002333333,0.001666667,-0.006666667,-0.013333333,0.011161333,-0.000355567,0.0005901,-0.008004867,-0.60655052,0.002409084,5.4491385
